,X.MI,Y.MI,Z.MI,A.MI,C.MI,E.MI,D.MI,G.MI,I.MI,M.MI,P.MI,R.MI,S.MI,T.MI,U.MI
2019-02-07,-0.01312,-0.00654,-0.01119,-0.04211,0.01188,-0.01008,-0.02218,-0.01189,-0.02788,-0.00336,-0.03065,-0.02581,-0.01133,-0.03267,-0.01935
2019-02-08,-0.01473,-0.01989,-0.00564,-0.03118,-0.01587,-0.00586,-0.00124,-0.00901,-0.00455,0.0044,0.00321,-0.00046,-0.00629,-0.03293,0.01001
2019-02-11,0.01473,0.0111,0.03704,0.00623,-0.01207,0.00742,0.00919,0.00502,0.01218,0.01739,0.01196,0.00549,0.01706,0.01743,0.01858
2019-02-12,0.00454,-0.02007,0.03747,0.02333,-0.00813,0.01122,0.00721,0.00565,0.0032,0.00506,0.01469,0.01405,0.03599,0.0027,0.02294
2019-02-13,0.00086,-0.00678,0.01564,0.01526,0.0202,0.00346,0.00675,0.0076,0.00348,0.01775,0.01011,-0.00316,0.03421,0.01627,0.02133
2019-02-14,-0.00637,-0.00911,-0.01827,-0.01445,-0.00803,-0.00077,-0.00513,-0.01159,-0.01451,-0.00621,-0.01193,-0.00362,-0.03367,-0.01399,-0.02226
2019-02-15,0.03189,-0.01383,0.01827,0.01763,0.01202,0.00459,0.02274,0.01422,0.03126,0.03504,0.01038,0.00857,0.00136,0.06205,0.05156
2019-02-18,-0.00738,0.02067,0.01455,-0.00119,-0.01202,0.00153,0.0037,0.00491,0.00875,0.00241,0.00361,0.00045,0.02041,0.03143,0.03105
2019-02-19,0.00801,0.03132,-0.00085,0.00417,-0.0081,-0.00344,0.00145,-0.00919,-0.00461,-0.00457,-0.00309,-0.00135,-0.00133,0.01163,-0.01409
2019-02-20,0.01002,-0.00442,0.01099,0.02926,0.00406,0.00115,0.00355,0.00395,0.00049,0.00361,-0.00284,-0.0027,-0.00775,0.00298,0.00123
2019-02-21,0.0059,-0.01561,0.01337,0.00096,-0.00813,0.00267,0.00118,-0.00033,-0.00806,-0.01015,0.00387,0.0036,-0.01787,-0.01612,-0.02804
2019-02-22,0.00268,0.02879,-0.01253,0.00403,0.0202,0.00608,0.00118,0.00459,0.00098,0.00267,0.00309,-0.0018,0.00136,0.01612,0.00234
2019-02-25,0.00411,-0.00877,0.00168,0.02045,0.00399,-0.00228,-0.00498,0.01041,0.0206,0.01252,0.0041,0.00941,0.00571,-0.00335,0.02884
2019-02-26,0.0,0.02823,-0.00168,-0.0015,0.00398,0.0087,-0.00013,0.00452,-0.00385,0.01543,0.01069,0.01285,0.01507,-0.01239,0.00017
2019-02-27,-0.00133,-0.02384,0.00336,-0.00867,0.00396,-0.00226,0.00079,0.00064,0.02614,0.01054,0.00025,-0.0084,-0.00294,0.00339,0.02122
2019-02-28,0.00287,0.01091,0.02645,-0.00227,0.0576,0.00377,-0.00369,0.01057,0.01744,0.02781,0.00379,0.00443,0.0008,0.00862,0.02128
2019-03-01,0.01059,-0.0153,-0.00819,0.0132,0.00743,-0.00113,-0.00848,0.00603,-0.00508,-0.02038,0.00076,0.01361,0.01567,-0.00674,0.0015
